,GC=F,DX-Y.NYB,CL=F,CPI
2010-01-04,1117.699951171875,77.52999877929688,81.51000213623047,217.488
2010-01-05,1118.0999755859375,77.62000274658203,81.7699966430664,217.488
2010-01-06,1135.9000244140625,77.48999786376953,83.18000030517578,217.488
2010-01-07,1133.0999755859375,77.91000366210938,82.66000366210938,217.488
2010-01-08,1138.199951171875,77.47000122070312,82.75,217.488
2010-01-11,1150.699951171875,77.0,82.5199966430664,217.488
2010-01-12,1128.9000244140625,76.94999694824219,80.79000091552734,217.488
2010-01-13,1136.4000244140625,76.8499984741211,79.6500015258789,217.488
2010-01-14,1142.5999755859375,76.7300033569336,79.38999938964844,217.488
2010-01-15,1130.0999755859375,77.31999969482422,78.0,217.488
2010-01-19,1139.699951171875,77.5,79.0199966430664,217.488
2010-01-20,1112.300048828125,78.33999633789062,77.62000274658203,217.488
2010-01-21,1102.699951171875,78.31999969482422,76.08000183105469,217.488
2010-01-22,1089.199951171875,78.27999877929688,74.54000091552734,217.488
2010-01-25,1095.199951171875,78.19000244140625,75.26000213623047,217.488
2010-01-26,1097.9000244140625,78.43000030517578,74.70999908447266,217.488
2010-01-27,1084.4000244140625,78.68000030517578,73.66999816894531,217.488
2010-01-28,1083.5999755859375,78.9000015258789,73.63999938964844,217.488
2010-01-29,1083.0,79.45999908447266,72.88999938964844,217.488
2010-02-01,1104.300048828125,79.23999786376953,74.43000030517578,217.281
2010-02-02,1117.4000244140625,79.01000213623047,77.2300033569336,217.281
2010-02-03,1111.4000244140625,79.37000274658203,76.9800033569336,217.281
2010-02-04,1062.4000244140625,79.91999816894531,73.13999938964844,217.281
2010-02-05,1052.199951171875,80.44000244140625,71.19000244140625,217.281
2010-02-08,1065.699951171875,80.30000305175781,71.88999938964844,217.281
2010-02-09,1076.699951171875,79.86000061035156,73.75,217.281
2010-02-10,1075.800048828125,80.02999877929688,74.5199966430664,217.281
2010-02-11,1094.199951171875,79.98999786376953,75.27999877929688,217.281
2010-02-12,1089.5,80.31999969482422,74.12999725341797,217.281
2010-02-16,1119.300048828125,79.69999694824219,77.01000213623047,217.281
2010-02-17,1119.5,80.37999725341797,77.33000183105469,217.281
2010-02-18,1118.0,80.4000015258789,79.05999755859375,217.281
2010-02-19,1121.300048828125,80.63999938964844,79.80999755859375,217.281
2010-02-22,1112.5999755859375,80.51000213623047,80.16000366210938,217.281
2010-02-23,1102.699951171875,80.8499984741211,78.86000061035156,217.281
2010-02-24,1096.5,80.8499984741211,80.0,217.281
2010-02-25,1107.800048828125,80.79000091552734,78.16999816894531,217.281
2010-02-26,1118.300048828125,80.36000061035156,79.66000366210938,217.281
2010-03-01,1117.800048828125,80.66000366210938,78.69999694824219,217.353
2010-03-02,1136.9000244140625,80.5199966430664,79.68000030517578,217.353
2010-03-03,1142.699951171875,79.9800033569336,80.87000274658203,217.353
2010-03-04,1132.5999755859375,80.55999755859375,80.20999908447266,217.353
2010-03-05,1134.800048828125,80.43000030517578,81.5,217.353
2010-03-08,1123.5999755859375,80.43000030517578,81.87000274658203,217.353
2010-03-09,1122.0,80.58999633789062,81.48999786376953,217.353
2010-03-10,1107.800048828125,80.44999694824219,82.08999633789062,217.353
2010-03-11,1108.0,80.31999969482422,82.11000061035156,217.353
2010-03-12,1101.5,79.83000183105469,81.23999786376953,217.353
2010-03-15,1105.0999755859375,80.25,79.80000305175781,217.353
2010-03-16,1122.199951171875,79.75,81.69999694824219,217.353
2010-03-17,1124.0,79.63999938964844,82.93000030517578,217.353
2010-03-18,1127.4000244140625,80.22000122070312,82.19999694824219,217.353
2010-03-19,1107.4000244140625,80.72000122070312,80.68000030517578,217.353
2010-03-22,1099.300048828125,80.6500015258789,81.25,217.353
2010-03-23,1103.5,80.9000015258789,81.91000366210938,217.353
2010-03-24,1088.5999755859375,81.83999633789062,80.61000061035156,217.353
2010-03-25,1092.699951171875,82.12000274658203,80.52999877929688,217.353
2010-03-26,1104.199951171875,81.68000030517578,80.0,217.353
2010-03-29,1110.300048828125,81.36000061035156,82.16999816894531,217.353
2010-03-30,1104.5,81.47000122070312,82.37000274658203,217.353
2010-03-31,1113.300048828125,81.06999969482422,83.76000213623047,217.353
2010-04-01,1125.0999755859375,80.77999877929688,84.87000274658203,217.403
2010-04-05,1132.9000244140625,81.08999633789062,86.62000274658203,217.403
2010-04-06,1135.0999755859375,81.38999938964844,86.83999633789062,217.403
2010-04-07,1152.300048828125,81.44000244140625,85.87999725341797,217.403
2010-04-08,1152.199951171875,81.52999877929688,85.38999938964844,217.403
2010-04-09,1161.0999755859375,81.08999633789062,84.91999816894531,217.403
2010-04-12,1161.5999755859375,80.55999755859375,84.33999633789062,217.403
2010-04-13,1152.800048828125,80.51000213623047,84.05000305175781,217.403
2010-04-14,1159.0,80.19000244140625,85.83999633789062,217.403
2010-04-15,1159.699951171875,80.4800033569336,85.51000213623047,217.403
2010-04-16,1136.300048828125,80.81999969482422,83.23999786376953,217.403
2010-04-19,1135.199951171875,81.0,81.44999694824219,217.403
2010-04-20,1138.5999755859375,81.05000305175781,83.44999694824219,217.403
2010-04-21,1148.199951171875,81.16000366210938,83.68000030517578,217.403
2010-04-22,1142.300048828125,81.56999969482422,83.69999694824219,217.403
2010-04-23,1153.0999755859375,81.3499984741211,85.12000274658203,217.403
2010-04-26,1153.5,81.4800033569336,84.19999694824219,217.403
2010-04-27,1161.699951171875,82.1500015258789,82.44000244140625,217.403
2010-04-28,1171.300048828125,82.37999725341797,83.22000122070312,217.403
2010-04-29,1168.4000244140625,82.0,85.16999816894531,217.403
